[2025-09-28 14:25:04] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 14:25:05] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:25:05] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:25:05] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:25:10] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 14:25:10] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:25:11] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:25:11] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:31:05] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 14:31:06] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:31:06] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:31:06] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:31:11] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 14:31:12] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:31:12] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:31:12] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:35:21] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 14:35:22] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:35:22] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:35:22] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:35:27] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 14:35:27] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:38:52] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 14:38:52] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:38:52] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:38:52] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:38:57] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 14:38:58] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:38:58] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:38:58] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:40:12] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 14:40:13] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:40:13] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:40:13] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:55:56] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 14:55:56] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:55:57] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:55:57] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:56:38] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 14:56:38] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:56:39] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:56:39] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:57:34] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 14:57:34] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:57:34] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:57:35] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:57:40] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
